（保真）兴华街汉江路 二七万达隔壁 多层一楼精装带院大三房	 3室2厅	 118m²	 低层(共6层)	 2001	 金汇花园	 二七-长江路-兴华南街101号	 近学校交通便利繁华地段	 155	 13136	 https://pic1.ajkimg.com/display/hj/8466ca3f740076c6996b09172ddedd15/240x180c.jpg?t=1
（保真）淮河东路兴华南街 工商银行家属院 117平单价1万1	 3室2厅	 117m²	 中层(共16层)	 1999	 工行兴华南街家属院	 二七-淮河路-兴华南街27号	 交通便利素质住户安全性高	 128	 10940	 https://pic1.ajkimg.com/display/hj/3210fbbd7baa63cb8cded2a5ab451296/240x180c.jpg?t=1
绿地城，精装修，单价11400起，特价房，无费用，团购一批	 3室2厅	 125m²	 中层(共32层)	 2017	 绿地城	 二七-嵩山南路-郑密路,近南三环	 新房房源南北通透近地铁	 140	 11200	 https://pic1.ajkimg.com/display/hj/bfe0b738f77295caf995d0931b02d712/240x180c.jpg?t=1
外国语中学旁 全明两室 送全屋家具家电 拎包入住 随时看房	 2室1厅	 86m²	 中层(共18层)	 2015	 锦绣山河玉瑞园	 二七-嵩山路-黄郭路	 全南户型靠近花园配套成熟	 110	 12689	 https://pic1.ajkimg.com/display/hj/4da41732f5cd69150803f08192a55e93/240x180c.jpg?t=1
新出 市中心 汇港新城 朝南两房 好格局 好采光 停车方便	 2室1厅	 78m²	 低层(共32层)	 2010	 汇港新城	 二七-铭功路-解放路	 近地铁配套成熟繁华地段	 110	 14103	 https://pic1.ajkimg.com/display/hj/ed1bed79ba300ed2565e0b35c8409d2e/240x180c.jpg?t=1
房源 陇海路鑫苑现代城首付七万买双气使用面积八十平精装两房	 2室1厅	 56m²	 中层(共17层)	 2012	 鑫苑现代城	 二七-京广路-庆丰街	 近地铁近学校配套成熟	 102	 18079	 https://pic1.ajkimg.com/display/hj/b8f47c2986b2ae013d51265156007504/240x180c.jpg?t=1
好房子 幸福路小学 陇西总校 精典两房	 2室2厅	 92m²	 低层(共32层)	 2012	 隆福国际	 二七-庆丰街-陇海中路28号	 近地铁近学校交通便利	 158	 17152	 https://pic1.ajkimg.com/display/hj/9647d42dbdaa5944dec42f86a8e0ba6a/240x180c.jpg?t=1
上陇西总校 南北通透 鑫苑物业 你值得拥有	 3室2厅	 95m²	 中层(共33层)	 2013	 鑫苑现代城	 二七-京广路-庆丰街	 近地铁近学校	 215	 22632	 https://pic1.ajkimg.com/display/hj/62d48201696b2cdf063d40f3f2bdb01e/240x180c.jpg?t=1
急售检漏一口价满五唯一 首付20万 刚需通透双气大两居	 2室2厅	 81m²	 低层(共33层)	 2015	 锦绣山河玉华园	 二七-二七周边-南彩路	 配套成熟环境优美品质小区	 102	 12593	 https://pic1.ajkimg.com/display/hj/df6762b259094db1c8687a5ca1f10aed/240x180c.jpg?t=1
昌建君悦府 1万订房 双地铁 首付分期无息 一梯一户	 3室2厅	 120m²	 高层(共18层)	 2019	 昌建君悦府	 二七-华中片-南四环	 近地铁配套成熟环境优美	 156	 13000	 https://pic1.ajkimg.com/display/hj/684f533cd5e802abbddda21328df1c67/240x180c.jpg?t=1
南三环大学路地铁口 精装现房 一万网签 5年后首付期间 贴息	 1室	 30m²	 高层(共24层)	 2017	 红星国际广场	 二七-二七周边-大学南路,近南三环	 新房房源近地铁配套成熟	 31.8	 10600	 https://pic1.ajkimg.com/display/hj/5cef6e749677d0c10d2bee441eed627d/240x180c.jpg?t=1
市中心 双地铁口 汇港新城 精装修 两卧朝南 首付22万急售	 2室1厅	 65m²	 中层(共30层)	 2011	 汇港新城	 二七-铭功路-解放路	 近地铁	 96	 14699	 https://pic1.ajkimg.com/display/hj/2eb79dc153d468a5926d4a6c25f7c88d/240x180c.jpg?t=1
（清盘钜惠）首付2万，均价8800，送精装修，月供1000	 1室1厅	 23m²	 中层(共33层)	 2017	 鑫苑名城(商住楼)	 二七-二七周边-蒿山南路,近南三环	 新房房源配套成熟繁华地段	 20	 8696	 https://pic1.ajkimg.com/display/hj/cbd82b1a630be4172a2d380d87362531/240x180c.jpg?t=1
小高层 首付五万网签 均价13000 洋房品质 一梯一户	 3室2厅	 120m²	 中层(共18层)	 2019	 昌建君悦府	 二七-华中片-南四环	 	 156	 13000	 https://pic1.ajkimg.com/display/hj/cdf347a4de71649925198f8a42097992/240x180c.jpg?t=1
大学路南三环，运河旁，精装公寓均价8500	 1室1厅	 50m²	 中层(共29层)	 2019	 泰宏建业国际城9号院	 二七-大学南路-大学南路	 	 50	 10000	 https://pic1.ajkimg.com/display/hj/d6ed4ec9d4583f1c59f3c01c1d543b69/240x180c.jpg?t=1
精装现房，配全家具家电！喜欢，五年后付首付，不喜欢五年后回购	 1室	 38m²	 高层(共24层)	 2016	 红星国际广场	 二七-二七周边-大学南路,近南三环	 	 39	 10263	 https://pic1.ajkimg.com/display/hj/11d9da5c2438f3afd881037cc2b5a484/240x180c.jpg?t=1
急售 康桥金域上郡 精装朝南两室两厅 看房随时	 2室2厅	 87m²	 低层(共34层)	 2012	 康桥金域上郡1号院	 二七-大学路-汝河路勤劳街西南角	 安全性高繁华地段品质小区	 179	 20575	 https://pic1.ajkimg.com/display/hj/fff3238c13dce437110104357739a7a9/240x180c.jpg?t=1
京广路 后301小区 电梯双气 大三室 带地下车位 急售	 3室2厅	 151m²	 高层(共18层)	 2000	 后301小区	 二七-京广路-京广中路41号	 近地铁三房朝南配套成熟	 249	 16490	 https://pic1.ajkimg.com/display/hj/cb458adbe4d0f62c7e7f315edc6e9a5e/240x180c.jpg?t=1
急售 康桥金域上郡1号院 南北通透三室两厅两卫	 3室2厅	 125m²	 中层(共34层)	 2012	 康桥金域上郡1号院	 二七-大学路-汝河路勤劳街西南角	 安全性高繁华地段品质小区	 267	 21360	 https://pic1.ajkimg.com/display/hj/30be47484dc11530cd4dd263df23ac85/240x180c.jpg?t=1
三环内 首付30万 买双气标准三房 嵩山路亚星隔壁次新房	 3室1厅	 88m²	 低层(共28层)	 2013	 旭辉佳苑	 二七-嵩山路-嵩山南路266号	 素质住户安全性高品质小区	 120	 13627	 https://pic1.ajkimg.com/display/hj/a9b065db0db8eec4bcacf0857fefeccb/240x180c.jpg?t=1
鑫苑鑫家通透三房 首付只需20万 有房本满两年 中间楼层急卖	 3室2厅	 89m²	 中层(共27层)	 2016	 鑫苑鑫家(1期)	 二七-大学南路-大学南路	 南北通透近地铁次新小区	 108.8	 12225	 https://pic1.ajkimg.com/display/hj/79720eebad913c804d7ca8eb7e674a2d/240x180c.jpg?t=1
102万住鑫苑3房2厅，嵩山路南三环省实验小学，双地铁，商业	 3室2厅	 89m²	 高层(共33层)	 2017	 鑫苑名城	 二七-嵩山路-嵩山南路	 近地铁次新小区品质小区	 102	 11461	 https://pic1.ajkimg.com/display/hj/1e2ee9664a267b387de0462ebe1b552b/240x180c.jpg?t=1
捡漏房，首付15万住人民公园旁，2楼04年全明两室，出门地铁	 2室2厅	 80m²	 低层(共6层)	 2004	 西彩小区	 二七-铭功路-西陈庄中街	 近地铁一梯两户位置安静	 87	 10875	 https://pic1.ajkimg.com/display/hj/a7517f335188e55e2a6305a4d8768dfa/240x180c.jpg?t=1
华润悦府 精装两房 业主装修花了20多个W 欢迎赏鉴 随时看	 2室2厅	 89m²	 中层(共52层)	 2015	 华润悦府	 二七-碧云路-铭功路	 近地铁配套成熟交通便利	 173	 19438	 https://pic1.ajkimg.com/display/hj/ad0eb7361f164a69822a8593da9b3504/240x180c.jpg?t=1
8000中介.费 鑫苑现代城，南北通透3房，餐厅客厅直接通透	 3室2厅	 90m²	 高层(共34层)	 2012	 鑫苑现代城	 二七-京广路-庆丰街	 近地铁近学校	 210	 23333	 https://pic1.ajkimg.com/display/hj/c275a6c1f8e9d7bfdee81736b3d24d15/240x180c.jpg?t=1
陇西小学隔壁 恒业小区 精装修南北通透两房 图片实拍直接入住	 2室2厅	 92m²	 高层(共6层)	 2000	 交通路恒业住宅小区	 二七-交通路-交通路41号	 采光好房型正配套成熟	 114	 12391	 https://pic1.ajkimg.com/display/hj/ea89c6a89ef8ad5626fa672317100379/240x180c.jpg?t=1
招商 超便宜大三房 观景楼层 附带车位 随时可看 花园社区	 3室2厅	 122m²	 高层(共27层)	 2015	 招商天地华府	 二七-嵩山路-嵩山南路,近南四环	 新房房源近地铁环境优美	 140	 11475	 https://pic1.ajkimg.com/display/hj/cc7e82369622702ee2ae8487d2d0cdb5/240x180c.jpg?t=1
精装现房，配全家具家电！喜欢，五年后付首付，不喜欢五年后回购	 1室	 38m²	 高层(共24层)	 2016	 红星国际广场	 二七-二七周边-大学南路,近南三环	 新房房源近地铁配套成熟	 39	 10263	 https://pic1.ajkimg.com/display/hj/6236aa90920dfc323c0d52622c5c6d05/240x180c.jpg?t=1
大学南路，万科大都会，千亩大盘，125平大3房送精装修	 3室2厅	 125m²	 中层(共33层)	 2019	 万科大都会	 二七-大学南路-大学南路,近南四环	 新房房源近地铁配套成熟	 150	 12000	 https://pic1.ajkimg.com/display/hj/2c72972ea902046d43da9f548b0b7beb/240x180c.jpg?t=1
长江路嵩山路亚星盛世星苑大2房，无税，拎包入住，	 2室2厅	 89m²	 高层(共33层)	 2016	 亚星盛世星苑	 二七-长江路-嵩山南路262号	 	 135	 15133	 https://pic1.ajkimg.com/display/hj/62a900d1d639fb4ff66d44509370034a/240x180c.jpg?t=1
二号线 润泽园对面青秀佳苑 精装修两室两厅拎包入住周边大	 2室2厅	 82m²	 中层(共16层)	 2012	 青秀佳苑	 二七-碧云路-碧云路	 南北通透	 100	 12195	 https://pic1.ajkimg.com/display/hj/3892b32cba5939e087adb351609fd1df/240x180c.jpg?t=1
